num_cancion,ngramas,pad,recurrente,transformer
196,Z,P,P,P
197,Z,P,K,P
198,Z,P,P,P
199,Z,K,K,K
200,Z,K,K,K
201,Z,K,K,K
202,Z,K,K,K
203,Z,P,P,K
204,Z,P,P,P
205,Z,K,K,K
206,Z,K,K,K
207,Z,K,K,K
208,Z,P,P,P
209,Z,K,K,K
210,Z,P,P,P
211,Z,K,K,K
212,Z,K,P,K
213,Z,P,P,P
214,Z,K,K,P
215,Z,K,K,K
216,Z,K,K,K
217,Z,K,K,K
218,Z,P,P,P
219,Z,P,K,P
220,Z,P,P,P
221,Z,K,K,K
222,Z,P,P,P
223,Z,P,K,P
224,Z,P,P,P
225,Z,K,K,K
226,Z,P,P,P
227,Z,P,K,K
228,Z,P,P,P
229,Z,P,K,P
230,Z,P,K,P
231,Z,P,K,P
232,Z,P,P,P
233,Z,P,P,P
234,Z,P,K,P
235,Z,P,P,K
236,Z,P,K,P
237,Z,K,K,K
238,Z,K,K,K
239,Z,K,P,K
240,Z,K,K,K
241,Z,K,K,K
242,Z,K,K,K
243,Z,K,K,K
244,Z,K,K,K
245,Z,P,P,P
246,Z,P,P,P
247,Z,P,P,P
248,Z,P,P,P
249,Z,K,K,K
250,Z,P,P,K
251,Z,K,K,K
252,Z,K,K,K
253,Z,P,K,P
254,Z,P,P,K
255,Z,K,K,K
256,Z,P,K,K
257,Z,K,K,K
258,Z,K,K,K
259,Z,P,K,K
260,Z,K,K,K
261,Z,P,P,K
262,Z,P,K,P
263,Z,P,P,P
264,Z,P,P,K
265,Z,P,K,K
266,Z,P,P,P
267,Z,K,P,P
268,Z,K,K,K
269,Z,P,P,P
270,Z,K,K,K
271,Z,P,P,P
272,Z,P,P,P
273,Z,P,P,P
274,Z,K,K,K
275,Z,K,K,P
276,Z,K,K,K
277,Z,K,P,K
278,Z,P,P,P
279,Z,K,K,K
280,Z,P,K,P
281,Z,P,K,P
282,Z,K,P,K
283,Z,P,P,P
284,Z,P,K,P
285,Z,K,P,K
286,Z,P,P,P
287,Z,P,P,P
288,Z,P,P,P
289,Z,K,K,K
290,Z,K,K,K
291,Z,K,K,K
292,Z,K,K,P
293,Z,P,P,P
294,Z,P,P,K
295,Z,P,K,K
296,Z,K,K,K
297,Z,P,K,P
298,Z,P,P,P
299,Z,P,P,P
300,Z,P,P,P
301,Z,K,K,K
302,Z,P,P,K
303,Z,K,K,K
304,Z,P,P,K
305,Z,P,P,P
306,Z,K,K,K
307,Z,K,K,K
308,Z,P,P,P
309,Z,P,K,P
310,Z,P,P,P
311,Z,P,K,P
312,Z,P,P,P
313,Z,P,K,P
314,Z,P,K,P
315,Z,P,K,P
316,Z,P,P,P
317,Z,P,K,P
318,Z,K,K,P
319,Z,P,P,P
320,Z,K,K,K
321,Z,K,K,P
322,Z,K,K,K
323,Z,K,K,K
324,Z,K,K,P
325,Z,P,P,K
326,Z,P,K,K
327,Z,K,K,K
328,Z,K,P,K
329,Z,K,P,K
330,Z,P,P,P
331,Z,P,P,P
332,Z,K,K,K
333,Z,K,K,K
334,Z,P,P,P
335,Z,K,P,P
336,Z,K,K,K
337,Z,P,P,P
338,Z,K,K,K
339,Z,K,K,K
340,Z,K,K,P
341,Z,P,P,P
342,Z,K,K,K
343,Z,P,P,P
344,Z,P,K,P
345,Z,P,P,P
346,Z,K,K,K
347,Z,K,K,K
348,Z,P,K,P
349,Z,K,K,K
350,Z,P,P,P
351,Z,P,K,P
352,Z,P,P,K
353,Z,K,K,K
354,Z,K,K,P
355,Z,P,K,P
356,Z,K,K,P
357,Z,P,P,P
358,Z,K,K,K
359,Z,K,K,P
360,Z,P,K,P
361,Z,K,K,P
362,Z,P,P,P
363,Z,P,K,K
364,Z,P,P,P
365,Z,P,P,P
366,Z,K,K,K
367,Z,K,K,K
368,Z,K,K,P
369,Z,P,P,P
370,Z,K,K,K
371,Z,P,P,P
372,Z,K,K,P
373,Z,K,K,K
374,Z,P,K,P
375,Z,K,K,K
376,Z,P,P,K
377,Z,P,P,P
378,Z,P,P,P
379,Z,P,P,P
380,Z,P,P,K
381,Z,K,K,P
382,Z,K,K,K
383,Z,P,P,P
384,Z,P,P,K
385,Z,P,K,P
386,Z,K,K,K
387,Z,P,P,P
388,Z,P,K,P
389,Z,P,K,K
390,Z,K,K,K
391,Z,P,P,K
392,Z,P,K,K
393,Z,P,P,P
394,Z,K,K,K
395,Z,K,K,K
396,Z,K,K,K
397,Z,P,P,P
398,Z,K,K,P
399,Z,P,P,P
400,Z,K,K,K
401,Z,P,P,P
402,Z,P,P,P
403,Z,P,K,K
404,Z,K,K,K
405,Z,K,K,P
406,Z,P,P,K
407,Z,P,P,P
408,Z,P,P,K
409,Z,K,P,P
410,Z,P,K,P
411,Z,P,P,K
412,Z,K,P,P
413,Z,P,P,K
414,Z,P,P,P
415,Z,K,K,K
416,Z,K,K,K
417,Z,P,P,P
418,Z,P,P,P
419,Z,K,K,K
420,Z,P,K,P
421,Z,P,P,K
422,Z,P,P,P
423,Z,K,K,K
424,Z,P,P,P
425,Z,K,K,K
426,Z,P,P,P
427,Z,K,K,K
428,Z,K,K,K
429,Z,K,K,K
430,Z,P,P,P
431,Z,K,K,K
432,Z,P,P,P
433,Z,K,K,K
434,Z,P,P,P
435,Z,P,P,P
436,Z,K,K,K
437,Z,P,P,P
438,Z,K,P,K
439,Z,K,K,K
440,Z,K,K,K
441,Z,K,P,K
442,Z,P,P,P
443,Z,K,K,P
444,Z,K,K,K
445,Z,K,K,K
446,Z,P,K,K
447,Z,K,K,K
448,Z,K,P,P
449,Z,P,K,P
450,Z,P,P,P
451,Z,P,K,P
452,Z,P,K,K
453,Z,K,K,K
454,Z,K,K,K
455,Z,K,K,K
456,Z,P,K,P
457,Z,P,P,P
458,Z,P,P,P
459,Z,K,K,K
460,Z,K,K,K
461,Z,P,K,P
462,Z,K,K,K
463,Z,P,P,P
464,Z,K,K,K
465,Z,P,K,P
466,Z,K,P,K
467,Z,K,K,K
468,Z,K,K,P
469,Z,K,K,K
470,Z,P,K,P
471,Z,K,K,K
472,Z,K,K,K
473,Z,P,P,K
474,Z,K,K,K
475,Z,K,K,K
476,Z,K,K,K
477,Z,K,P,K
478,Z,K,K,K
479,Z,K,K,K
480,Z,P,P,P
481,Z,P,K,K
482,Z,P,P,K
483,Z,P,P,P
484,Z,P,K,K
485,Z,P,P,K
486,Z,P,P,P
487,Z,K,K,K
488,Z,P,P,P
489,Z,P,P,K
490,Z,P,P,P
491,Z,K,K,P
492,Z,K,K,P
493,Z,P,K,P
494,Z,P,P,P
495,Z,K,K,K
496,Z,P,P,P
497,Z,P,K,P
498,Z,P,K,K
499,Z,K,K,K
500,Z,P,P,K
501,Z,K,P,K
502,Z,K,K,K
503,Z,K,K,K
504,Z,K,K,K
505,Z,K,K,K
506,Z,K,K,K
507,Z,P,K,P
508,Z,K,P,P
509,Z,P,K,P
510,Z,P,P,P
511,Z,P,K,P
512,Z,K,K,K
513,Z,P,K,P
514,Z,K,K,K
515,Z,P,K,K
516,Z,P,P,K
517,Z,K,K,K
518,Z,P,P,P
519,Z,K,P,K
520,Z,P,P,K
521,Z,P,K,P
522,Z,K,K,K
523,Z,P,P,P
524,Z,K,P,P
525,Z,P,P,P
526,Z,P,K,P
527,Z,P,P,K
528,Z,K,P,K
529,Z,P,P,P
530,Z,K,K,P
531,Z,K,K,P
532,Z,P,P,P
533,Z,K,K,K
534,Z,K,P,K
535,Z,P,K,P
536,Z,P,K,K
537,Z,K,K,K
538,Z,K,K,K
539,Z,P,P,K
540,Z,K,K,K
541,Z,P,K,K
542,Z,P,P,P
543,Z,P,P,P
544,Z,P,K,K
545,Z,P,P,K
546,Z,K,P,P
547,Z,K,K,K
548,Z,K,K,K
549,Z,K,K,K
550,Z,P,K,K
551,Z,K,K,K
552,Z,P,P,P
553,Z,P,K,P
554,Z,P,P,P
555,Z,K,K,K
556,Z,P,P,P
557,Z,K,K,K
558,Z,K,K,K
559,Z,P,K,K
560,Z,K,P,K
561,Z,P,P,P
562,Z,P,P,P
563,Z,K,K,K
564,Z,K,K,K
565,Z,P,K,P
566,Z,P,K,P
567,Z,K,K,K
568,Z,K,K,K
569,Z,K,K,K
570,Z,K,K,K
571,Z,K,K,P
572,Z,K,K,K
573,Z,P,P,P
574,Z,K,K,K
575,Z,P,P,P
576,Z,P,K,P
577,Z,K,P,K
578,Z,P,K,K
579,Z,K,K,K
580,Z,P,P,P
581,Z,P,P,P
582,Z,P,K,P
583,Z,K,K,P
584,Z,K,K,P
585,Z,K,K,K
586,Z,K,P,P
587,Z,K,K,K
588,Z,P,P,P
589,Z,P,P,P
590,Z,K,K,K
591,Z,P,P,P
592,Z,K,K,K
593,Z,P,P,P
594,Z,P,P,P
595,Z,P,K,P
596,Z,P,P,P
597,Z,P,P,P
598,Z,K,K,K
599,Z,P,P,P
600,Z,K,K,P
601,Z,K,K,K
602,Z,K,K,K
603,Z,P,K,K
604,Z,P,P,P
605,Z,P,P,P
606,Z,K,K,K
607,Z,P,P,P
608,Z,P,P,K
609,Z,K,K,K
610,Z,P,K,P
611,Z,K,K,P
612,Z,P,P,K
613,Z,K,P,K
614,Z,K,K,P
615,Z,K,K,K
616,Z,P,P,P
617,Z,K,K,K
618,Z,P,P,K
619,Z,K,K,P
620,Z,K,K,K
621,Z,K,K,K
622,Z,K,K,K
623,Z,K,K,K
624,Z,P,P,K
625,Z,P,P,P
626,Z,P,P,P
627,Z,P,P,P
628,Z,K,K,K
629,Z,K,K,K
630,Z,P,P,P
631,Z,K,P,P
632,Z,P,P,P
633,Z,P,K,P
634,Z,P,P,P
635,Z,P,P,P
636,Z,P,P,P
637,Z,P,P,P
638,Z,K,K,K
639,Z,P,P,K
640,Z,P,P,P
641,Z,P,P,P
642,Z,K,K,K
643,Z,P,K,P
644,Z,K,K,P
645,Z,P,P,P
646,Z,P,P,P
647,Z,P,K,P
648,Z,K,K,K
649,Z,K,K,K
650,Z,P,P,P
651,Z,P,P,P
652,Z,K,P,K
653,Z,P,K,P
654,Z,P,K,P
655,Z,K,K,K
656,Z,K,K,K
657,Z,K,P,K
658,Z,P,P,K
659,Z,K,K,K
660,Z,K,K,K
661,Z,K,K,K
662,Z,P,P,K
663,Z,P,K,P
664,Z,P,K,P
665,Z,P,K,P
666,Z,K,K,K
667,Z,P,K,P
668,Z,K,K,K
669,Z,K,P,P
670,Z,K,K,K
671,Z,P,P,P
672,Z,P,K,P
673,Z,P,P,P
674,Z,K,P,K
675,Z,P,P,P
676,Z,K,K,K
677,Z,P,P,P
678,Z,P,P,P
679,Z,K,K,K
680,Z,K,K,K
681,Z,K,P,K
682,Z,K,K,K
683,Z,K,K,K
684,Z,P,P,P
685,Z,K,K,K
686,Z,K,K,P
687,Z,P,P,P
688,Z,P,P,K
689,Z,P,P,P
690,Z,P,K,P
691,Z,K,K,K
692,Z,P,P,P
693,Z,K,K,K
694,Z,K,K,P
695,Z,K,K,K
696,Z,K,K,K
697,Z,K,P,P
698,Z,P,P,K
699,Z,P,P,K
700,Z,P,K,P
701,Z,K,K,K
702,Z,P,K,K
703,Z,P,P,P
704,Z,K,K,K
705,Z,P,P,K
706,Z,K,K,K
707,Z,P,P,P
708,Z,P,P,K
709,Z,K,K,P
710,Z,K,P,P
711,Z,P,P,P
712,Z,P,P,P
713,Z,P,P,P
714,Z,K,K,K
715,Z,P,P,P
716,Z,P,K,K
717,Z,P,P,P
718,Z,P,P,P
719,Z,P,K,P
720,Z,P,K,P
721,Z,K,K,P
722,Z,K,P,K
723,Z,K,K,K
724,Z,K,K,K
725,Z,P,P,P
726,Z,K,K,P
727,Z,P,K,K
728,Z,P,K,K
729,Z,P,P,K
730,Z,K,K,K
731,Z,P,K,P
732,Z,P,P,P
733,Z,K,K,P
734,Z,K,K,K
735,Z,K,P,K
736,Z,P,P,P
737,Z,K,K,K
738,Z,K,K,K
739,Z,P,P,K
740,Z,P,P,P
741,Z,K,K,K
742,Z,K,K,K
743,Z,P,K,P
744,Z,K,K,K
745,Z,P,P,P
746,Z,P,K,K
747,Z,P,P,K
748,Z,P,K,P
749,Z,K,K,K
750,Z,K,P,K
751,Z,P,P,K
752,Z,P,P,P
753,Z,P,P,K
754,Z,P,K,K
755,Z,P,K,K
756,Z,P,P,P
757,Z,K,K,K
758,Z,P,K,P
759,Z,K,K,K
760,Z,P,P,P
761,Z,K,K,P
762,Z,P,P,P
763,Z,K,P,K
764,Z,K,K,P
765,Z,P,P,P
766,Z,P,P,P
767,Z,P,K,P
768,Z,P,K,P
769,Z,K,K,K
770,Z,P,P,K
771,Z,P,K,K
772,Z,K,K,P
773,Z,P,P,P
774,Z,K,K,K
775,Z,K,K,P
776,Z,P,P,P
777,Z,P,P,P
778,Z,P,K,P
779,Z,P,K,K
780,Z,P,P,P
781,Z,P,P,P
782,Z,K,K,K
783,Z,P,P,P
784,Z,K,K,K
785,Z,P,P,P
786,Z,P,K,P
787,Z,P,K,P
788,Z,K,K,K
789,Z,P,P,K
790,Z,P,K,K
791,Z,P,P,P
792,Z,K,P,K
793,Z,P,K,K
794,Z,P,P,P
795,Z,P,P,P
796,Z,P,P,K
797,Z,P,P,K
798,Z,K,K,K
799,Z,P,K,K
800,Z,P,P,P
801,Z,P,P,P
802,Z,K,K,K
803,Z,P,P,P
804,Z,P,P,P
805,Z,P,P,P
806,Z,P,P,K
807,Z,P,K,P
808,Z,P,K,P
809,Z,K,K,K
810,Z,K,K,K
811,Z,K,K,K
812,Z,K,K,K
813,Z,P,P,P
814,Z,K,K,K
815,Z,K,K,K
816,Z,P,K,P
817,Z,K,P,P
818,Z,K,K,K
819,Z,P,P,P
820,Z,P,P,P
821,Z,K,K,K
822,Z,K,K,K
823,Z,P,P,P
824,Z,P,P,P
825,Z,P,P,P
826,Z,P,K,K
827,Z,P,P,P
828,Z,P,P,P
829,Z,K,K,K
830,Z,P,P,K
831,Z,P,K,K
832,Z,K,K,K
833,Z,P,P,P
834,Z,K,K,K
835,Z,K,K,K
836,Z,P,P,K
837,Z,P,P,K
838,Z,K,K,K
839,Z,P,K,P
840,Z,P,K,K
841,Z,K,P,P
842,Z,P,P,P
843,Z,K,K,K
844,Z,K,K,P
845,Z,P,P,P
846,Z,K,K,K
847,Z,P,P,K
848,Z,P,P,P
849,Z,K,K,K
850,Z,K,K,K
851,Z,P,K,K
852,Z,K,K,K
853,Z,P,P,P
854,Z,K,K,K
855,Z,K,K,P
856,Z,P,P,P
857,Z,P,P,P
858,Z,P,P,K
859,Z,P,P,P
860,Z,P,K,P
861,Z,P,P,P
862,Z,K,K,K
863,Z,P,P,P
864,Z,K,K,K
865,Z,K,K,K
866,Z,P,P,K
867,Z,K,K,K
868,Z,K,K,K
869,Z,P,P,P
870,Z,K,K,K
871,Z,K,K,P
872,Z,P,P,K
873,Z,P,P,P
874,Z,K,K,K
875,Z,P,K,P
876,Z,K,P,K
877,Z,K,K,K
878,Z,K,P,K
879,Z,K,K,K
880,Z,P,P,P
881,Z,K,K,K
882,Z,K,K,K
883,Z,P,K,K
884,Z,K,K,P
885,Z,P,K,K
886,Z,P,P,P
887,Z,K,K,K
888,Z,K,K,K
889,Z,P,P,P
890,Z,K,P,K
891,Z,K,K,K
892,Z,K,P,K
893,Z,K,K,K
894,Z,K,K,K
895,Z,P,P,P
896,Z,P,P,K
897,Z,P,P,K
898,Z,P,P,P
899,Z,P,P,P
900,Z,K,K,K
901,Z,P,K,K
902,Z,P,P,K
903,Z,P,K,P
904,Z,P,P,P
905,Z,P,K,P
906,Z,K,K,K
907,Z,K,K,K
908,Z,K,P,P
909,Z,K,K,P
910,Z,P,K,P
911,Z,K,K,K
912,Z,P,K,P
913,Z,K,K,K
914,Z,K,K,K
915,Z,P,P,P
916,Z,K,P,K
917,Z,P,P,P
918,Z,P,K,P
919,Z,P,P,P
920,Z,K,K,K
921,Z,K,K,K
922,Z,P,P,K
923,Z,P,P,P
924,Z,K,K,K
925,Z,P,K,P
926,Z,K,P,K
927,Z,K,K,K
928,Z,P,P,P
929,Z,K,K,P
930,Z,P,K,K
931,Z,K,P,P
932,Z,P,K,P
933,Z,K,K,K
934,Z,P,P,K
935,Z,K,K,K
936,Z,P,K,P
937,Z,P,P,P
938,Z,K,P,K
939,Z,K,P,P
940,Z,K,K,K
941,Z,K,K,K
942,Z,K,K,K
943,Z,K,K,K
944,Z,K,K,P
945,Z,P,P,P
946,Z,P,K,P
947,Z,P,P,P
948,Z,K,K,P
949,Z,K,K,K
950,Z,P,K,P
951,Z,P,K,P
952,Z,K,K,K
953,Z,K,K,K
954,Z,K,K,K
955,Z,K,P,K
956,Z,P,P,K
957,Z,K,K,P
958,Z,K,K,K
959,Z,P,P,P
960,Z,P,P,P
961,Z,K,K,K
962,Z,P,K,P
963,Z,P,P,P
964,Z,K,P,P
965,Z,K,K,K
966,Z,P,K,P
967,Z,P,P,P
968,Z,P,P,K
969,Z,K,K,K
970,Z,K,K,K
971,Z,P,P,P
972,Z,P,K,K
973,Z,P,P,K
974,Z,P,P,P
975,Z,K,K,K
976,Z,P,K,K
977,Z,P,P,P
978,Z,K,K,K
979,Z,P,P,P
980,Z,K,K,K
981,Z,P,K,P
982,Z,P,P,K
983,Z,K,K,K
984,Z,K,K,K
985,Z,K,K,K
986,Z,P,P,K
987,Z,K,K,K
988,Z,K,P,K
989,Z,P,P,P
990,Z,P,K,P
991,Z,K,K,K
992,Z,P,P,P
993,Z,K,K,K
994,Z,P,P,P
995,Z,P,P,P
996,Z,P,P,P
997,Z,P,K,K
998,Z,P,K,P
999,Z,K,P,K
1000,Z,K,K,K
1001,Z,P,K,P
1002,Z,P,K,K
1003,Z,P,P,K
1004,Z,K,K,P
1005,Z,K,K,K
1006,Z,K,P,K
1007,Z,K,P,K
1008,Z,P,K,P
1009,Z,K,K,K
1010,Z,K,K,K
1011,Z,P,P,P
1012,Z,K,K,K
1013,Z,P,P,K
1014,Z,K,K,K
1015,Z,K,K,K
1016,Z,K,K,K
1017,Z,P,P,P
1018,Z,K,K,K
1019,Z,P,P,P
1020,Z,P,P,K
1021,Z,K,K,K
1022,Z,P,P,P
1023,Z,K,K,K
1024,Z,P,P,P
1025,Z,K,K,K
1026,Z,P,K,K
1027,Z,P,K,P
1028,Z,P,P,P
1029,Z,P,P,K
1030,Z,P,P,P
1031,Z,K,K,K
1032,Z,P,K,P
1033,Z,P,P,P
1034,Z,P,P,P
1035,Z,K,K,K
1036,Z,P,P,P
1037,Z,P,P,P
1038,Z,P,P,P
1039,Z,K,K,K
1040,Z,K,K,P
1041,Z,K,K,K
1042,Z,K,K,K
1043,Z,K,K,P
1044,Z,K,K,K
1045,Z,K,P,K
1046,Z,K,K,K
1047,Z,P,K,K
1048,Z,K,P,P
1049,Z,P,P,P
1050,Z,K,K,P
1051,Z,K,K,K
1052,Z,P,K,P
1053,Z,P,P,K
1054,Z,K,K,K
1055,Z,P,P,P
1056,Z,P,P,P
1057,Z,K,K,P
1058,Z,P,P,P
1059,Z,K,K,K
1060,Z,P,P,P
1061,Z,K,K,K
1062,Z,P,P,K
1063,Z,P,P,P
1064,Z,K,K,K
1065,Z,P,P,P
1066,Z,K,K,K
1067,Z,P,K,P
1068,Z,P,K,K
1069,Z,K,K,P
1070,Z,P,P,P
1071,Z,P,K,P
1072,Z,P,K,K
1073,Z,P,P,P
1074,Z,K,K,K
1075,Z,P,P,K
1076,Z,K,K,K
1077,Z,P,K,P
1078,Z,K,K,K
1079,Z,P,P,P
1080,Z,P,P,P
1081,Z,K,P,K
1082,Z,K,K,K
1083,Z,P,P,P
1084,Z,K,K,K
1085,Z,P,P,P
1086,Z,K,K,K
1087,Z,K,K,K
1088,Z,K,K,K
1089,Z,P,K,P
1090,Z,K,K,K
1091,Z,K,K,P
1092,Z,P,P,P
1093,Z,P,P,P
1094,Z,K,K,K
1095,Z,K,K,K
1096,Z,P,P,P
1097,Z,P,P,K
1098,Z,K,P,P
1099,Z,K,K,K
1100,Z,K,K,P
1101,Z,P,K,P
1102,Z,K,P,K
1103,Z,K,K,K
1104,Z,K,K,P
1105,Z,K,K,K
1106,Z,K,P,P
1107,Z,P,K,P
1108,Z,P,P,K
1109,Z,P,P,P
1110,Z,K,K,P
1111,Z,P,P,P
1112,Z,K,K,K
1113,Z,P,K,P
1114,Z,P,P,P
1115,Z,K,K,K
1116,Z,P,P,K
1117,Z,P,K,P
1118,Z,P,P,P
1119,Z,K,K,P
1120,Z,P,K,K
1121,Z,K,K,K
1122,Z,K,K,K
1123,Z,K,K,K
1124,Z,P,P,K
1125,Z,K,P,K
1126,Z,P,P,P
1127,Z,P,P,P
1128,Z,P,K,P
1129,Z,K,K,K
1130,Z,P,K,P
1131,Z,P,P,K
1132,Z,P,K,P
1133,Z,P,P,P
1134,Z,P,P,P
1135,Z,K,K,K
1136,Z,K,K,K
1137,Z,P,K,P
1138,Z,K,K,K
1139,Z,P,P,P
1140,Z,K,K,K
1141,Z,K,K,K
1142,Z,P,K,P
1143,Z,K,K,K
1144,Z,K,P,K
1145,Z,P,P,P
1146,Z,P,P,P
1147,Z,K,P,K
1148,Z,P,K,K
1149,Z,P,P,P
1150,Z,P,P,K
1151,Z,K,P,K
1152,Z,P,P,P
1153,Z,P,P,P
1154,Z,K,K,P
1155,Z,P,P,P
1156,Z,P,P,K
1157,Z,K,K,K
1158,Z,K,K,P
1159,Z,K,K,K
1160,Z,K,K,K
1161,Z,P,P,P
1162,Z,K,K,K
1163,Z,K,K,K
1164,Z,P,P,P
1165,Z,K,K,K
1166,Z,P,K,K
1167,Z,K,K,P
1168,Z,K,K,P
1169,Z,K,K,K
1170,Z,P,K,P
1171,Z,K,P,P
1172,Z,P,K,K
1173,Z,K,K,K
1174,Z,P,P,P
1175,Z,P,K,P
1176,Z,K,K,K
1177,Z,P,P,P
1178,Z,K,K,K
1179,Z,K,K,K
1180,Z,K,K,K
1181,Z,K,K,K
1182,Z,K,K,P
1183,Z,P,P,K
1184,Z,P,K,P
1185,Z,P,P,P
1186,Z,K,P,K
1187,Z,P,P,K
1188,Z,P,P,P
1189,Z,P,K,P
1190,Z,K,K,K
1191,Z,K,P,K
1192,Z,P,P,P
1193,Z,K,K,K
1194,Z,K,K,K
1195,Z,K,K,K
1196,Z,P,P,P
1197,Z,P,P,P
1198,Z,P,P,P
1199,Z,K,P,K
1200,Z,K,K,P
1201,Z,P,K,P
1202,Z,P,P,P
1203,Z,K,K,P
1204,Z,K,K,K
1205,Z,K,K,K
1206,Z,K,K,K
1207,Z,K,K,P
1208,Z,P,K,P
1209,Z,P,K,P
1210,Z,P,K,P
1211,Z,P,P,P
1212,Z,K,K,K
1213,Z,P,P,K
1214,Z,P,K,P
1215,Z,P,K,K
1216,Z,P,P,K
1217,Z,P,P,P
1218,Z,P,P,K
1219,Z,P,P,P
1220,Z,P,P,P
1221,Z,P,P,P
1222,Z,K,K,K
1223,Z,K,K,P
1224,Z,K,K,K
1225,Z,P,K,P
1226,Z,P,P,P
1227,Z,P,P,P
1228,Z,K,K,P
1229,Z,P,K,K
1230,Z,K,K,K
1231,Z,K,K,K
1232,Z,P,K,P
1233,Z,K,K,K
1234,Z,P,K,P
1235,Z,K,K,K
1236,Z,K,K,K
1237,Z,P,K,K
1238,Z,P,P,P
1239,Z,K,P,K
1240,Z,K,K,K
1241,Z,K,K,K
1242,Z,K,K,K
1243,Z,P,P,K
1244,Z,K,K,K
1245,Z,P,P,P
1246,Z,P,P,K
